iter	Accuracy	Logloss
0	0.8505094044	0.6788012877
1	0.8538401254	0.6657724653
2	0.8618730408	0.6539660391
3	0.862460815	0.642333599
4	0.8593260188	0.630732084
5	0.8606974922	0.6205110464
6	0.8599137931	0.6100872805
7	0.8610893417	0.6002190793
8	0.859130094	0.5913899921
9	0.8579545455	0.5817874306
10	0.8573667712	0.571764723
11	0.8571708464	0.562816513
12	0.8577586207	0.5537566409
13	0.859130094	0.5458690231
14	0.8608934169	0.5378180766
15	0.8599137931	0.5302656467
16	0.8599137931	0.5233233427
17	0.8605015674	0.5164944519
18	0.8612852665	0.5105425188
19	0.8630485893	0.5039337278
20	0.8620689655	0.4978762728
21	0.8634404389	0.4917371043
22	0.8628526646	0.4867741857
23	0.8628526646	0.4813298249
24	0.8614811912	0.476053676
25	0.861677116	0.4707892869
26	0.8618730408	0.4657108203
27	0.8622648903	0.4606825619
28	0.862460815	0.4556741573
29	0.8638322884	0.4515146298
30	0.8638322884	0.4470377527
31	0.8646159875	0.4425962323
32	0.8663793103	0.4383566255
33	0.8677507837	0.4336975971
34	0.868338558	0.429683295
35	0.8697100313	0.4255251314
36	0.8701018809	0.4219326033
37	0.8702978056	0.4183143461
38	0.8714733542	0.414618018
39	0.8722570533	0.4110435063
40	0.8722570533	0.4078006473
41	0.8720611285	0.4047112849
42	0.871669279	0.4017427379
43	0.871669279	0.3987299723
44	0.8718652038	0.3961165639
45	0.8726489028	0.3931756889
46	0.8730407524	0.3900621692
47	0.8722570533	0.3874244235
48	0.8726489028	0.3845278327
49	0.8726489028	0.3817828082
50	0.8732366771	0.3794151776
51	0.8728448276	0.3770234689
52	0.8732366771	0.3744325256
53	0.8734326019	0.3724602895
54	0.8744122257	0.3699122149
55	0.8755877743	0.3673774155
56	0.8757836991	0.3651262198
57	0.875	0.3631441981
58	0.8767633229	0.3609242268
59	0.8769592476	0.3588373044
60	0.8771551724	0.3569603179
61	0.8775470219	0.3549954468
62	0.8779388715	0.353392975
63	0.8773510972	0.3520689459
64	0.8789184953	0.3496684357
65	0.8789184953	0.3482244938
66	0.8804858934	0.3464485823
67	0.8802899687	0.3446882773
68	0.8804858934	0.3432056103
69	0.8806818182	0.3413701554
70	0.8820532915	0.3398561339
71	0.8822492163	0.3385969432
72	0.8824451411	0.3370485536
73	0.8828369906	0.3351123543
74	0.8834247649	0.3336021537
75	0.8838166144	0.3317934579
76	0.8840125392	0.3304643206
77	0.8847962382	0.3290635856
78	0.884992163	0.3273222115
79	0.8857758621	0.3256721357
80	0.8867554859	0.324006441
81	0.8867554859	0.3226503603
82	0.888322884	0.3210277908
83	0.8887147335	0.3198666418
84	0.8894984326	0.3182777076
85	0.8898902821	0.316770263
86	0.8902821317	0.3155662918
87	0.8902821317	0.3143544973
88	0.8904780564	0.3128821114
89	0.8920454545	0.3115243634
90	0.891653605	0.3103671179
91	0.8932210031	0.309188753
92	0.8934169279	0.3076863625
93	0.8938087774	0.3065324908
94	0.8945924765	0.3053825286
95	0.8953761755	0.304094741
96	0.8951802508	0.3029450208
97	0.8955721003	0.3018320286
98	0.8957680251	0.3007791509
99	0.8957680251	0.2997038273
100	0.8959639498	0.2986451109
101	0.8965517241	0.2973226582
102	0.8963557994	0.296619523
103	0.8969435737	0.2959080011
104	0.897531348	0.2948780963
105	0.8979231975	0.2936604824
106	0.8979231975	0.2925397815
107	0.8987068966	0.2917588836
108	0.8985109718	0.2911208782
109	0.8994905956	0.2901133411
110	0.8998824451	0.2891141555
111	0.9000783699	0.2879965801
112	0.9002742947	0.2871452127
113	0.9000783699	0.2863995526
114	0.9000783699	0.2856528782
115	0.9010579937	0.2845503545
116	0.9010579937	0.283577655
117	0.900862069	0.2828504497
118	0.9010579937	0.282293442
119	0.901645768	0.2815867211
120	0.9024294671	0.2807224868
121	0.9026253918	0.2800615674
122	0.9020376176	0.2792920082
123	0.9020376176	0.2784093828
124	0.9020376176	0.2775667534
125	0.9034090909	0.276894851
126	0.9036050157	0.2763795485
127	0.9036050157	0.2755553136
128	0.9038009404	0.2749847684
129	0.9039968652	0.2741721744
130	0.9043887147	0.2734745826
131	0.9043887147	0.2727565994
132	0.9045846395	0.2721190713
133	0.9043887147	0.2713057518
134	0.9053683386	0.2704474502
135	0.9055642633	0.2695785269
136	0.9061520376	0.2688356875
137	0.9051724138	0.2683343
138	0.9051724138	0.2675940478
139	0.9057601881	0.2669373415
140	0.9065438871	0.2659453344
141	0.9069357367	0.2650434777
142	0.9071316614	0.2642671058
143	0.9073275862	0.2635280322
144	0.9079153605	0.2626455947
145	0.9079153605	0.2620548683
146	0.9079153605	0.2616357631
147	0.90830721	0.2609109368
148	0.90830721	0.2604800609
149	0.9094827586	0.2597851222
150	0.9096786834	0.2591855639
151	0.9096786834	0.2585482884
152	0.9098746082	0.2579376966
153	0.9096786834	0.2569700458
154	0.9098746082	0.2564282186
155	0.9098746082	0.2558530174
156	0.9096786834	0.2552378161
157	0.9104623824	0.2546153663
158	0.9106583072	0.2539932826
159	0.9114420063	0.253255369
160	0.9112460815	0.2526650815
161	0.9110501567	0.25209855
162	0.9114420063	0.2514112457
163	0.9118338558	0.2508271149
164	0.9124216301	0.2502870633
165	0.9124216301	0.24989365
166	0.9122257053	0.249282572
167	0.9124216301	0.2487594233
168	0.9126175549	0.2481556655
169	0.9132053292	0.2477245557
170	0.9132053292	0.247398276
171	0.9132053292	0.2470067732
172	0.9132053292	0.2466195585
173	0.9137931034	0.2460401901
174	0.9137931034	0.2455169752
175	0.9143808777	0.2445671924
176	0.914968652	0.2439681044
177	0.9151645768	0.2437607426
178	0.9151645768	0.2435051825
179	0.9153605016	0.2428970106
180	0.9157523511	0.2423502594
181	0.9157523511	0.2418542746
182	0.9161442006	0.2414641779
183	0.9163401254	0.2408913819
184	0.9161442006	0.2402583336
185	0.9169278997	0.2396632307
186	0.9167319749	0.2390371875
187	0.9173197492	0.2385806942
188	0.9171238245	0.2379513637
189	0.9181034483	0.2374340887
190	0.9184952978	0.2368676406
191	0.9192789969	0.2362099255
192	0.9190830721	0.2359147098
193	0.9192789969	0.2352962691
194	0.9192789969	0.2345570308
195	0.9200626959	0.2341203357
196	0.9196708464	0.2334353437
197	0.9202586207	0.232964246
198	0.9202586207	0.2323416204
199	0.9202586207	0.231730226
200	0.9204545455	0.2312797942
201	0.9210423197	0.2304416613
202	0.9212382445	0.2299670373
203	0.9214341693	0.2294612601
204	0.921630094	0.2290129914
205	0.9218260188	0.2284902879
206	0.9218260188	0.2280061877
207	0.9222178683	0.2275160914
208	0.9224137931	0.2268125948
209	0.9230015674	0.2264383059
210	0.9231974922	0.2260213592
211	0.9237852665	0.2257594981
212	0.9239811912	0.2252447213
213	0.9247648903	0.2246839263
214	0.9255485893	0.224333403
215	0.9253526646	0.2241366028
216	0.9251567398	0.2236685133
217	0.9253526646	0.2232307526
218	0.9255485893	0.2228390127
219	0.9263322884	0.2221378596
220	0.9269200627	0.2217124879
221	0.9269200627	0.2213533467
222	0.9269200627	0.220940068
223	0.9271159875	0.2204603561
224	0.9271159875	0.2202164882
225	0.9273119122	0.2197056077
226	0.927507837	0.219025054
227	0.927507837	0.2186697368
228	0.9277037618	0.2182982566
229	0.9278996865	0.2179016051
230	0.9277037618	0.2175693266
231	0.9284874608	0.2171728568
232	0.9284874608	0.2168083603
233	0.9286833856	0.2163848218
234	0.9288793103	0.2160174284
235	0.9290752351	0.2157483067
236	0.9292711599	0.2153946557
237	0.9290752351	0.2148632161
238	0.9294670846	0.2146895567
239	0.9292711599	0.2144764228
240	0.9298589342	0.2142412049
241	0.9294670846	0.2139073886
242	0.9294670846	0.2135227644
243	0.9302507837	0.2129547799
244	0.930838558	0.2125872733
245	0.930838558	0.2119737047
246	0.9312304075	0.2115370326
247	0.9314263323	0.211091657
248	0.9318181818	0.2108551395
249	0.9322100313	0.2104779166
250	0.9322100313	0.2101434204
251	0.9320141066	0.2098204874
252	0.9322100313	0.2094164975
253	0.9329937304	0.2088291619
254	0.9327978056	0.2083550161
255	0.9327978056	0.2078134013
256	0.9326018809	0.2075520441
257	0.9324059561	0.2071687808
258	0.9333855799	0.2066661259
259	0.9335815047	0.2063369411
260	0.9335815047	0.2061525925
261	0.9335815047	0.2058700021
262	0.9335815047	0.2055820062
263	0.9339733542	0.2051818166
264	0.9345611285	0.2048970526
265	0.9343652038	0.2047293911
266	0.9345611285	0.2042514692
267	0.9355407524	0.2037357484
268	0.9349529781	0.2032854222
269	0.9353448276	0.2027707552
270	0.9361285266	0.2021507392
271	0.9365203762	0.2016469364
272	0.9369122257	0.2012210539
273	0.9369122257	0.2007953959
274	0.9371081505	0.2005878874
275	0.9375	0.2002884045
276	0.9375	0.1998850711
277	0.9376959248	0.19959383
278	0.9376959248	0.1993235719
279	0.9376959248	0.1988211381
280	0.9378918495	0.1984221132
281	0.9382836991	0.1979099493
282	0.9384796238	0.1975759093
283	0.9392633229	0.1969755811
284	0.9392633229	0.196630232
285	0.9388714734	0.1961891816
286	0.9392633229	0.1957661602
287	0.9398510972	0.1952666827
288	0.9398510972	0.1948610631
289	0.9398510972	0.1946140497
290	0.9400470219	0.1942715964
291	0.9404388715	0.1937237253
292	0.9406347962	0.1934900618
293	0.9404388715	0.1933767899
294	0.9412225705	0.1927361152
295	0.9414184953	0.1923396055
296	0.9414184953	0.1921178185
297	0.9414184953	0.1918357818
298	0.9416144201	0.1913590573
299	0.9418103448	0.1909739662
300	0.9420062696	0.1905504721
301	0.9418103448	0.1903438158
302	0.9422021944	0.1901374079
303	0.9422021944	0.1898857383
304	0.9423981191	0.1897103502
305	0.9425940439	0.1891794359
306	0.9427899687	0.1887705036
307	0.9425940439	0.1883852081
308	0.9425940439	0.1881439704
309	0.9427899687	0.187947209
310	0.9427899687	0.187703854
311	0.9429858934	0.1873032778
312	0.9429858934	0.1869422301
313	0.9431818182	0.1866924627
314	0.9431818182	0.1864683417
315	0.9433777429	0.1861446496
316	0.9437695925	0.1857125096
317	0.9437695925	0.1857094336
318	0.9437695925	0.1854996413
319	0.9437695925	0.1851292421
320	0.944161442	0.1848805331
321	0.944161442	0.1846581356
322	0.9443573668	0.1843135132
323	0.9443573668	0.1840315092
324	0.9443573668	0.1837919822
325	0.9449451411	0.1834280532
326	0.9449451411	0.1833595584
327	0.9451410658	0.1831921322
328	0.9451410658	0.1828710097
329	0.9451410658	0.1825234142
330	0.9451410658	0.1821574276
331	0.9451410658	0.181882957
332	0.9451410658	0.1815477791
333	0.9449451411	0.1812936934
334	0.9449451411	0.1811882108
335	0.9449451411	0.180672514
336	0.9449451411	0.1804622047
337	0.9449451411	0.1802106447
338	0.9451410658	0.1796558537
339	0.9451410658	0.1794711654
340	0.9451410658	0.1792512846
341	0.9455329154	0.1791235664
342	0.9457288401	0.1789225965
343	0.9457288401	0.1786618096
344	0.9459247649	0.1785109213
