iter	Passed	Remaining
0	222	444006
1	282	282511
2	341	227172
3	400	199793
4	475	189835
5	549	182492
6	610	173884
7	669	166733
8	731	161734
9	791	157505
10	867	156898
11	932	154561
12	996	152339
13	1033	146582
14	1097	145188
15	1161	143991
16	1223	142668
17	1290	142137
18	1356	141424
19	1417	140364
20	1585	149378
21	1669	150084
22	1708	146825
23	1777	146375
24	1847	145923
25	1913	145248
26	1974	144281
27	2040	143702
28	2102	142916
29	2163	142060
30	2224	141317
31	2286	140591
32	2363	140849
33	2424	140200
34	2573	144505
35	2665	145424
36	2739	145347
37	2809	145074
38	2879	144798
39	2942	144177
40	3007	143707
41	3068	143057
42	3130	142466
43	3194	141996
44	3255	141411
45	3318	140956
46	3386	140703
47	3465	140925
48	3599	143312
49	3690	143911
50	3757	143608
51	3836	143703
52	3899	143233
53	3959	142688
54	4021	142202
55	4083	141751
56	4143	141239
57	4211	141002
58	4273	140599
59	4334	140155
60	4397	139792
61	4510	140990
62	4614	141876
63	4704	142318
64	4768	141962
65	4836	141720
66	4898	141317
67	4956	140835
68	5024	140620
69	5088	140307
70	5148	139889
71	5209	139508
72	5269	139107
73	5328	138692
74	5386	138260
75	5459	138215
76	5521	137885
77	5587	137673
78	5646	137313
79	5707	136970
80	5767	136629
81	5839	136592
82	5901	136313
83	5962	135999
84	6024	135733
85	6088	135514
86	6150	135246
87	6212	134983
88	6281	134872
89	6343	134627
90	6405	134379
91	6466	134104
92	6525	133818
93	6587	133566
94	6646	133288
95	6718	133257
96	6778	132980
97	6836	132692
98	6895	132400
99	6954	132139
100	7015	131898
101	7074	131649
102	7145	131603
103	7206	131381
104	7268	131175
105	7328	130940
106	7386	130671
107	7446	130451
108	7513	130356
109	7575	130162
110	7635	129943
111	7695	129727
112	7755	129517
113	7819	129358
114	7877	129121
115	7950	129121
116	8009	128906
117	8071	128732
118	8131	128537
119	8191	128330
120	8250	128123
121	8310	127926
122	8377	127834
123	8441	127714
124	8500	127505
125	8562	127347
126	8622	127167
127	8684	127003
128	8745	126847
129	8811	126750
130	8872	126585
131	8932	126412
132	8990	126204
133	9050	126038
134	9113	125900
135	9177	125790
136	9241	125674
137	9301	125502
138	9361	125342
139	9423	125195
140	9483	125029
141	9545	124892
142	9615	124862
143	9676	124718
144	9738	124580
145	9797	124414
146	9859	124287
147	9921	124154
148	9979	123970
149	10056	124029
150	10115	123864
151	10174	123694
152	10232	123527
153	10292	123377
154	10353	123236
155	10415	123113
156	10481	123036
157	10541	122894
158	10602	122767
159	10663	122631
160	10723	122489
161	10784	122359
162	10849	122271
163	10912	122170
164	10973	122035
165	11032	121893
166	11095	121786
167	11153	121625
168	11211	121467
169	11278	121411
170	11341	121306
171	11401	121177
172	11463	121067
173	11524	120939
174	11584	120811
175	11647	120712
176	11723	120748
177	11782	120607
178	11842	120471
179	11902	120346
180	11963	120229
181	12028	120149
182	12094	120082
183	12156	119982
184	12215	119845
185	12273	119698
186	12334	119584
187	12393	119454
188	12452	119323
189	12520	119271
190	12582	119171
191	12642	119052
192	12701	118921
193	12762	118806
194	12821	118680
195	12880	118557
196	12949	118521
197	13009	118402
198	13073	118320
199	13136	118224
200	13195	118103
201	13257	118000
202	13318	117898
203	13388	117872
204	13447	117746
205	13505	117620
206	13570	117546
207	13630	117429
208	13692	117332
209	13754	117238
210	13820	117175
211	13881	117073
212	13942	116972
213	14003	116873
214	14065	116776
215	14128	116694
216	14197	116651
217	14258	116553
218	14317	116437
219	14379	116347
220	14440	116241
221	14498	116118
222	14559	116018
223	14631	116005
224	14690	115891
225	14748	115771
226	14810	115677
227	14868	115554
228	14928	115454
229	15011	115519
230	15073	115436
231	15134	115339
232	15196	115246
233	15256	115140
234	15316	115035
235	15374	114919
236	15446	114900
237	15505	114789
238	15569	114719
239	15632	114634
240	15694	114551
241	15754	114450
242	15822	114400
243	15884	114312
244	15944	114213
245	16004	114114
246	16070	114051
247	16131	113961
248	16190	113851
249	16263	113842
250	16323	113743
251	16386	113667
252	16446	113564
253	16508	113480
254	16570	113394
255	16635	113329
256	16701	113271
257	16763	113188
258	16821	113077
259	16885	113003
260	16945	112901
261	17003	112792
262	17076	112784
263	17140	112712
264	17203	112635
265	17262	112533
266	17324	112444
267	17383	112341
268	17448	112281
269	17515	112226
270	17573	112122
271	17632	112017
272	17692	111923
273	17750	111817
274	17819	111775
275	17888	111739
276	17953	111674
277	18014	111585
278	18078	111515
279	18137	111415
280	18198	111328
281	18259	111242
282	18325	111183
283	18387	111101
284	18448	111015
285	18507	110918
286	18567	110825
287	18627	110730
288	18688	110642
289	18760	110621
290	18820	110529
291	18880	110439
292	18941	110353
293	19001	110260
294	19064	110186
295	19123	110090
296	19194	110063
297	19256	109981
298	19321	109921
299	19383	109842
300	19444	109752
301	19502	109655
302	19571	109613
303	19634	109540
304	19693	109446
305	19753	109354
306	19813	109263
307	19872	109169
308	19932	109081
309	19999	109030
310	20066	108978
311	20127	108894
312	20187	108803
313	20244	108703
314	20306	108621
315	20381	108613
316	20457	108610
317	20463	108235
318	20523	108149
319	20584	108066
320	20643	107978
321	20704	107894
322	20764	107808
323	20830	107753
324	20893	107684
325	20955	107603
326	21017	107528
327	21079	107452
328	21138	107364
329	21213	107352
330	21281	107307
331	21340	107216
332	21399	107127
333	21459	107042
334	21518	106950
335	21581	106879
336	21647	106825
337	21711	106759
338	21771	106676
339	21832	106596
340	21891	106503
341	21950	106412
342	22009	106324
343	22074	106263
344	22136	106193
345	22198	106116
346	22260	106044
347	22318	105949
348	22379	105871
349	22440	105790
350	22508	105745
351	22570	105671
352	22630	105588
353	22689	105498
354	22748	105410
355	22810	105338
356	22870	105255
357	22938	105210
358	23002	105144
359	23061	105059
360	23095	104856
361	23155	104776
362	23216	104697
363	23273	104604
364	23337	104539
365	23406	104496
366	23474	104453
367	23535	104376
368	23598	104306
369	23661	104240
370	23723	104164
371	23796	104142
372	23870	104122
373	23930	104041
374	23989	103956
375	24051	103884
376	24113	103808
377	24178	103750
378	24241	103680
379	24303	103611
380	24379	103595
381	24438	103509
382	24497	103425
383	24560	103357
384	24626	103304
385	24686	103223
386	24750	103158
387	24811	103081
388	24872	103005
389	24932	102926
390	24998	102871
391	25063	102812
392	25123	102730
393	25192	102688
394	25253	102612
395	25313	102532
396	25373	102451
397	25441	102404
398	25504	102336
399	25570	102282
400	25630	102203
401	25690	102123
402	25750	102045
403	25807	101953
404	25877	101912
405	25964	101938
406	26044	101939
407	26106	101867
408	26174	101820
409	26235	101743
410	26309	101715
411	26367	101631
412	26431	101565
413	26489	101479
